company_id,company_code,company_name,inn,revenue,cost_of_sales,gross_profit,selling_expenses,admin_expenses,operating_profit,other_income,other_expenses,profit_before_tax,tax_expenses,net_profit,calculated_at
5,GROSS_GRUP_DI,ГРОСС ГРУП ДИ ООО,7723379584,515064474.84,215880384.1,299184090.74,0.0,173034256.68,126149834.06,8607767.35,19802690.22,114954911.19,14980873.34,99974037.85,2025-11-25 06:20:17.869214+00:00
26,VLADENIE-V,ВЛАДЕНИЕ-В ООО,7706189209,244265592.75,276901322.19,-32635729.44,4942.13,91146155.09,-123786826.66,159786044.88,119278627.59,-83279409.37,21327725.29,-104607134.66,2025-11-25 06:20:17.869214+00:00
20,AO_K-STROI,К-СТРОЙ АО,7743380443,229022177.02,226587434.01,2434743.01,0.0,16179071.25,-13744328.24,13252104823.92,5343297258.51,7895063237.17,323000273.61,7572062963.56,2025-11-25 06:20:17.869214+00:00
39,AL'IaNS,АЛЬЯНС ООО,7708532710,216269583.44,119471.39,216150112.05,0.0,223077616.35,-6927504.3,463128.55,1127916.47,-7592292.22,0.0,-7592292.22,2025-11-25 06:20:17.869214+00:00
25,SGK-REGION,СГК-РЕГИОН ООО,7730625216,163807872.37,140870182.75,22937689.62,0.0,20827364.11,2110325.51,9761725.94,2317197.43,9554854.02,1403261.32,8151592.7,2025-11-25 06:20:17.869214+00:00
12,GRANDPROM_AO,ГРАНДПРОМ АО,7743356899,145429625.01,148693812.57,-3264187.56,0.0,244574704.63,-247838892.19,122908955.04,36089557.93,-161019495.08,2119216.44,-163138711.52,2025-11-25 06:20:17.869214+00:00
3,VAITERA,ВАЙТЕРА ООО,7730250743,133182191.34,79177607.09,54004584.25,0.0,25180976.98,28823607.27,1492780.42,192534.91,30123852.78,0.0,30123852.78,2025-11-25 06:20:17.869214+00:00
31,FETER,ФЕТЕР ООО,9728139808,119469924.31,5696227.87,113773696.44,0.0,104415494.12,9358202.32,119112.55,70418.2,9406896.67,0.0,9406896.67,2025-11-25 06:20:17.869214+00:00
40,VSENARODNYI_FERMERSKII_TsENTR,ВФЦ ООО,7704027805,118567574.74,100612078.12,17955496.62,9164.92,41547570.77,-23601239.07,675218.16,43486883.28,-66412904.19,8348492.12,-74761396.31,2025-11-25 06:20:17.869214+00:00
10,MONOLIT,МОНОЛИТ ООО,7203222587,111457141.76,129852859.66,-18395717.9,0.0,30801233.63,-49196951.53,4393357.12,16996455.82,-61800050.23,2326124.37,-64126174.6,2025-11-25 06:20:17.869214+00:00
16,IuG_ISTEIT_INZhINIRING,ЮГ ИСТЕЙТ ИНЖИНИРИНГ ООО,2304083130,95671583.0,77872714.11,17798868.89,0.0,19497214.67,-1698345.78,2217914.31,3024648.17,-2505079.64,0.0,-2505079.64,2025-11-25 06:20:17.869214+00:00
32,UK_GROSS,УК ГРОСС ООО,4706042264,85446892.96,40406168.26,45040724.7,0.0,18333668.31,26707056.39,1591785.31,780883.62,27517958.08,0.0,27517958.08,2025-11-25 06:20:17.869214+00:00
11,GROSS_GRUP_M,ГРОСС ГРУП М ООО,7730714995,78133755.0,12894.97,78120860.03,0.0,121817551.19,-43696691.16,22205893.65,3277848.25,-24768645.76,0.0,-24768645.76,2025-11-25 06:20:17.869214+00:00
7,IP_ShINDIaPIN_ALEKSANDR_VLADIMIROVICh,Шиндяпин А.В. ИП,745200435242,4970000.0,997463.43,3972536.57,0.0,0.0,3972536.57,34253682.93,22097746.44,16128473.06,0.0,16128473.06,2025-11-25 06:20:17.869214+00:00
27,BOS,БОС ООО,5902142884,1500000.0,1595937.05,-95937.05,0.0,0.0,-95937.05,0.0,93539.13,-189476.18,0.0,-189476.18,2025-11-25 06:20:17.869214+00:00
1,DZhUL_LAIF,ДЖУЛ ЛАЙФ ООО,5024248306,971278.28,2240933.13,-1269654.85,2956471.35,8722594.3,-12948720.5,194362.16,75205.64,-12829563.98,0.0,-12829563.98,2025-11-25 06:20:17.869214+00:00
18,TEKTONIKA,ТЕКТОНИКА ООО,7801303867,0.0,0.0,0.0,0.0,250042.83,-250042.83,468684.04,16574.0,202067.21,56795.78,145271.43,2025-11-25 06:20:17.869214+00:00
14,VORPAL,ВОРПАЛ ЗАО,7814034548,0.0,0.0,0.0,0.0,170000.0,-170000.0,6900.39,60274.62,-223374.23,23409.66,-246783.89,2025-11-25 06:20:17.869214+00:00
13,LITORUS,ЛИТОРУС ООО,7706521625,0.0,0.0,0.0,0.0,9246567.7,-9246567.7,72765473.62,24114562.1,39404343.82,24603025.92,14801317.9,2025-11-25 06:20:17.869214+00:00
8,PARTNER,ПАРТНЕР ООО,5260175562,0.0,0.0,0.0,0.0,77483.88,-77483.88,1310917.49,23706.62,1209726.99,0.0,1209726.99,2025-11-25 06:20:17.869214+00:00
33,LESNOE,Лесное ООО,7725790373,0.0,0.0,0.0,0.0,8946103.03,-8946103.03,0.0,1572308.11,-10518411.14,2629602.79,-13148013.93,2025-11-25 06:20:17.869214+00:00
6,GLOBALKONSALT,ГЛОБАЛКОНСАЛТ ООО,7722765650,0.0,0.0,0.0,0.0,134775.52,-134775.52,144167.62,1589552.68,-1580160.58,0.0,-1580160.58,2025-11-25 06:20:17.869214+00:00
4,REKREATsIONNYE_SISTEMY,РЕКРЕАЦИОННЫЕ СИСТЕМЫ ООО,7017250925,0.0,0.0,0.0,0.0,8914519.16,-8914519.16,5142826.65,51338791.91,-55110484.42,13518855.9,-68629340.32,2025-11-25 06:20:17.869214+00:00
